dim1,dim2,Local_Authority_Highway,name
1.6090539891650828,-1.945233090463165,E09000001,City of London
-1.2297775887238969,-1.0754204342272258,E09000002,Barking and Dagenham
-0.4090603008231472,1.7383360718696934,E09000003,Barnet
-0.31410904044405624,-0.7487913683259644,E09000004,Bexley
-0.35538256338346835,0.019121996914630544,E09000005,Brent
-1.6905359880612962,1.5315512122668375,E09000006,Bromley
1.6518717037145654,0.00036389480924638455,E09000007,Camden
-1.0148020293790312,1.435173106700583,E09000008,Croydon
-0.27162964257373756,0.7932407406008805,E09000009,Ealing
-1.5887407345648161,0.7580655306269901,E09000010,Enfield
0.07037547735213236,-0.12858932480112142,E09000011,Greenwich
1.169395476551752,-0.23839115897581115,E09000012,Hackney
0.9188203199758579,-0.7447346754748749,E09000013,Hammersmith and Fulham
0.615189224590009,-0.37432826686299764,E09000014,Haringey
-1.1510782139388323,-1.0386369288219819,E09000015,Harrow
-1.7841281130010949,0.6645989345594342,E09000016,Havering
-1.555232777220365,1.1774666004428624,E09000017,Hillingdon
-0.34356845882087456,0.2872522355925273,E09000018,Hounslow
0.5983122435772672,-0.4178930347544368,E09000019,Islington
1.5107125435198316,-0.6369293108200117,E09000020,Kensington and Chelsea
-0.5183444086510214,-1.4389692760588892,E09000021,Kingston upon Thames
1.6813249535741566,0.9446697480196067,E09000022,Lambeth
0.7139214190825695,0.07978360848997448,E09000023,Lewisham
-0.4022286813031052,-1.2063281339743122,E09000024,Merton
-1.337989737171667,-0.02261792592616358,E09000025,Newham
-1.3941102562928411,-0.06665807583718145,E09000026,Redbridge
0.38122074064700984,-0.9643236271372325,E09000027,Richmond upon Thames
0.7693695155655224,0.5033976025032366,E09000028,Southwark
-0.36345189258804306,-1.1671668495306402,E09000029,Sutton
0.82754113603504,0.06322723678375078,E09000030,Tower Hamlets
-0.8480176269718919,-0.5093492873382932,E09000031,Waltham Forest
0.7528942682757603,0.33215690438967255,E09000032,Wandsworth
3.3021850422866295,2.395955344760376,E09000033,Westminster
